Jira Key,Issue Id,Summary,Description,Issue Type,Priority,Labels,Parent,Sprint,Phase,Blocked By 1,Blocked By 2,Blocked By 3,Relates 1,Relates 2,Relates 3,Blocks Existing,Assignee
SALIN-251,T39,[T39] Pamana slice: Author Pamana (Levels 11-15) narrative assets,"Same gap as T36 for Era 3; copy drafted in docs/content/pamana-levels-11-15-narrative.md. Create Dialogue_Pamana0N_*, Cutscene_Pamana0N_Memory, wire into Level11-15_Config and Era_03. Covers UF-11, UF-27, Level Flow L11-L15.

Audit id: T39. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-173 (IP parent).",Story,Medium,content language demo-required audit-2026-09 revised-backlog phase-c,SALIN-130,,C - Level content,T01,,,SALIN-173,,,,Ian Clyde Tejada
SALIN-252,T40,[T40] Pamana slice: Author Level 13 challenge and the Level 15 final text,"Create Challenge_Pamana13_Context.asset and update Challenge_Pamana15_Context.asset per the Q4 ruling. Acceptance: Level 13 restores SANGA and HARAYA in the sentence; Level 15 restores the ruled text ending in MALAYA. Covers Level Flow L13/L15, UF-36, UF-37.

Audit id: T40. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-155, SALIN-158 (IP).",Story,Medium,content demo-required audit-2026-09 revised-backlog phase-c,SALIN-130,,C - Level content,T37,T38,T66,SALIN-158,SALIN-155,,,Chad Denard Andrada
SALIN-253,T42,[T42] Era Completion scene and Next Era Unlock,"No era completion screen. Add EraCompletionScreenUI after Results on era-local level 5 with ending line, five memory cards, mastery summary, Enter Next Era; author Era ending lines. Acceptance: finishing Level 5 shows the Ugat ending line, five cards and Enter Next Era opening Era 2. Covers UF-33, UF-34, BTN-NEXT-ERA.

Audit id: T42. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-147/152 ('era ending is shown'), SALIN-137 (Done, next-era unlock).",Story,Medium,ui content demo-required audit-2026-09 revised-backlog phase-c,SALIN-127,,C - Level content,T26,T36,,SALIN-147,,,,Ian Clyde Tejada
SALIN-254,T43,[T43] Ending cinematic and post-game hub; decide Endless Mode,"No ending; completing Level 15 unlocks an inert Endless Mode not in spec. Add ending cutscene, campaign-complete flag, post-game menu (Mastery Challenge, Replay, Archive, Codex, Ending Gallery); spec or remove Endless Mode. Covers UF-38, UF-41.

Audit id: T43. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-158 (IP: completed-journey state, review/replay/Credits, Endless clause).",Story,Low,ui content demo-required audit-2026-09 revised-backlog phase-c,SALIN-127,,C - Level content,,,,SALIN-158,,,,Jon Wayne Cabusbusan
SALIN-255,T44,[T44] Living Scroll hub,"No hub between menu and era map. Add Hub scene with three chambers, progress, locked-era requirements, quick links. Acceptance: Continue opens the hub; locked eras read Complete Ugat Level 5; tapping Ugat opens the map. Covers UF-08, UF-06.

Audit id: T44. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: NEW — existing Jira: none.",Story,Low,ui demo-required audit-2026-09 revised-backlog phase-c,SALIN-127,,C - Level content,T28,,,,,,,Jon Wayne Cabusbusan
SALIN-256,T45,"[T45] Main menu completeness: progress display, Exit, archive entry","Menu lacks era/level/completion display, Exit, and Memory Archive; per team ruling Q6 New Journey stays in Settings behind confirmation. Acceptance: menu shows Ugat Level 3 13%; Reset Journey in Settings confirms then plays the prologue; Exit confirms then quits on device; archive opens. Covers UF-03, UF-06, UF-07, BTN-START, BTN-CONTINUE, BTN-EXIT.

Audit id: T45. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-136 (Done, routing), SALIN-142 (Done, reset).",Story,Medium,ui demo-required audit-2026-09 revised-backlog phase-c,SALIN-127,,C - Level content,T07,T26,T27,SALIN-136,,,,Jon Wayne Cabusbusan
SALIN-257,T47,"[T47] Glyph badge, almanac, and level-number art for remaining symbols and levels","Badges exist for 7 of 17 symbols (none of Level 1's four), Almanac art for 7, numbered scrolls for Levels 1-5 only. Produce and assign the missing art. Acceptance: Level 1 enemies carry framed glyph badges; Era 2 and 3 show numbered scrolls. Covers UF-09, UF-17, UF-40.

Audit id: T47. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-176 (IP, asset parent), SALIN-206 (IP, Ugat art slice).",Task,Medium,art demo-required audit-2026-09 revised-backlog phase-c,SALIN-36,,C - Level content,,,,SALIN-176,,,,Ian Clyde Tejada
SALIN-262,T50,[T50] Narration toggle and captions for audio clues,"No captions or narration toggle exist. Add settings and a caption label; every pronunciation shows its syllable as text when captions are on; narration off keeps dialogue text. Covers UF-42, Global Audio Clues, Global Hints.

Audit id: T50. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-164 (To Do: 'equivalent readable visual cue or caption').",Story,Medium,accessibility audit-2026-09 revised-backlog phase-d,SALIN-132,,D - Polish and accessibility,,,,SALIN-164,,,,Ian Clyde Tejada
SALIN-263,T51,"[T51] Reduced motion / reduced flash, larger hearts, hearts numeral","No motion setting; hearts are colour-only (HeartDisplay.cs:208). Add Reduced Motion (no shake/flash), Large Hearts, and a 3/3 numeral beside the hearts. Covers UF-42, Global Three Hearts, Difficulty Assist.

Audit id: T51. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-164 ('reduced-effects … enabled').",Story,Medium,accessibility audit-2026-09 revised-backlog phase-d,SALIN-132,,D - Polish and accessibility,,,,SALIN-164,,,,Ian Clyde Tejada
SALIN-264,T52,"[T52] Text speed, font size, high contrast, Restore Defaults, Apply","Settings has only three audio sliders. Add text speed (drives DialogueController typewriter), font size, high contrast, Restore Defaults and Apply; persist across restart. Covers UF-42, BTN-SETTINGS.

Audit id: T52. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-164 ('readable … smallest supported screen').",Story,Medium,accessibility audit-2026-09 revised-backlog phase-d,SALIN-132,,D - Polish and accessibility,,,,SALIN-164,,,,Ian Clyde Tejada
SALIN-265,T53,[T53] Haptics toggle,"Rescoped by ruling Q13: the whole-screen drawing surface is the trace pad, so only a Haptics toggle remains (vibrate on correct trace, persisted). Covers UF-42, UF-15.

Audit id: T53. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: NEW — existing Jira: none.",Task,Low,accessibility audit-2026-09 revised-backlog phase-d,SALIN-132,,D - Polish and accessibility,,,,,,,,Ian Clyde Tejada
SALIN-266,T54,[T54] Finalize English player-facing copy,"Rescoped by ruling Q16: English applies to UI copy only; story dialogue, focus-word explanations and cutscenes stay Filipino (ruling 2026-09-11). No language setting. Review and finalize LevelLockNoticePanel, ChallengeModeUI, DrawingFeedbackVocabulary, PauseMenuUI and ResetJourneyFlow strings and remove placeholder comments. Covers UF-09, UF-25, UF-43.

Audit id: T54. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-188 (IP, language review), SALIN-173 (IP).",Story,Medium,language ui audit-2026-09 revised-backlog phase-d,SALIN-127,,D - Polish and accessibility,,,,SALIN-188,,,,Jon Wayne Cabusbusan
SALIN-267,T55,[T55] Emit the BTN-* tracking events to a local offline event log,"None of the 25 tracking events exist; RecognitionLogger covers recognition only. Add UiEventLogger writing a local CSV and hook every button handler. Acceptance: a Level 1 playthrough logs new_journey_started, practice_started, combat_started, restoration_submitted, memory_claimed etc. Covers Button and UI Rules Tracking Event column.

Audit id: T55. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-191 (IP: 'privacy-safe local educational telemetry'), SALIN-35 (Done).",Task,Low,analytics audit-2026-09 revised-backlog phase-d,SALIN-51,,D - Polish and accessibility,,,,SALIN-191,,,,Jon Wayne Cabusbusan
SALIN-268,T56,[T56] Character Codex upgrade and fold free practice into it,"Almanac shows a grid and description only. Add spoken values, first/later uses, four mastery bars from LearningStateSnapshot, Practice Symbol opening the tracing practice surface (the Tracing Dojo scene becomes reachable only from the Codex; remove the main-menu Tracing Dojo button, ruling 2026-09-11), locked cells naming the era. Enemies tab kept (ruling Q15): list the 18 corrupted enemies keyed to symbols with T62 lore, no legacy colonial enemies. Covers UF-40, BTN-CODEX, BTN-PRACTICE, Character Mastery. Note: depends on T62 (higher id) by design; the Codex cannot list enemy lore before it exists.

Audit id: T56. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-160 (To Do, review screen), SALIN-159 (Done, practice), SALIN-118 (Done, Almanac).",Story,Medium,ui demo-required audit-2026-09 revised-backlog phase-d,SALIN-131,,D - Polish and accessibility,T05,T07,T62,SALIN-160,SALIN-159,,,Chad Denard Andrada
SALIN-269,T57,[T57] Difficulty Assist settings,"No player-facing assist. Add settings to slow enemies, extend the trace window, show one stroke, control guide opacity; show an assist icon in results details; mandatory objectives stay required. Covers Global Difficulty Assist, UF-32.

Audit id: T57. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-164 ('learning-speed assistance').",Story,Low,accessibility audit-2026-09 revised-backlog phase-d,SALIN-132,,D - Polish and accessibility,T10,,,SALIN-164,,,,Ian Clyde Tejada
SALIN-270,T58,[T58] Persist the mid-level checkpoint and implement Save and Exit,"Pause-leave keeps an in-memory snapshot only, lost on app kill; no Save and Exit. Persist the checkpoint into the save document and relabel the pause exit. Acceptance: Save and Exit on wave 3, kill the app, relaunch, Continue resumes at wave 3 with the same hearts. Covers UF-43, BTN-EXIT, Global Safe Saving.

Audit id: T58. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-165 (To Do: relaunch restarts 'from a clean attempt rather than loading a partial checkpoint'), SALIN-141 (Done). Ruling OQ-3 (2026-09-12): checkpoint after every cleared wave and every completed syllable placement; relaunch resumes there. SALIN-165 AC to be amended accordingly.",Story,Medium,save audit-2026-09 revised-backlog phase-d,SALIN-127,,D - Polish and accessibility,T20,,,SALIN-165,,,,Jeff Andre Millan
SALIN-271,T59,[T59] Update the workbook with the code-is-better findings,"AUDIT.md section 5.5 lists seven behaviours (atomic save, flow machine, deterministic clue, hidden recognizer score, mastery model, reset copy, star formula) that should become spec rows. Update the workbook and docs/system/06. Covers Global Safe Saving, Core Mechanics Enemy target/Victory, UF-20, UF-28, UF-40, UF-07.

Audit id: T59. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-186 (Done, doc sync), SALIN-167 (Done, matrix).",Task,Low,spec audit-2026-09 revised-backlog phase-d,SALIN-127,,D - Polish and accessibility,T01,,,SALIN-186,,,,Jon Wayne Cabusbusan
SALIN-258,T60,[T60] Present levels as Era N Level 1-5 everywhere,"Team ruling 2026-09-11: three eras of five levels; never show global 1-15. Update LevelLockNoticePanel copy, VictoryScreenUI last-level check, WaveManager registry lookup, Level*_Config levelName, and content asset naming. Acceptance: every player-facing string reads Ugat Level 2 or Era 1 Level 2; lock notice for Era 2 Level 1 says Finish Ugat Level 5. Covers Game Overview Structure, UF-09, UF-10, UF-28, UF-30.

Audit id: T60. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-185 (Done, naming).",Story,High,ui data demo-required audit-2026-09 revised-backlog phase-c,SALIN-127,,C - Level content,T06,,,SALIN-185,,,,Jon Wayne Cabusbusan
SALIN-259,T61,[T61] Implement the designed abilities for the corrupted enemies,"Ruling R6 (2026-09-11): the per-enemy combat-time rule sheet is in AUDIT.md 6.3, each mapped to an existing hook (ActiveCluePresenter, ActiveClueDirector, StrokeCapture, Enemy.TakeDamage, WaveManager, ChallengeSession). Built: Labo, Mantsa, Takip, Iligaw (add zigzag data). Partial: Salungat (add mirrored badge tell), Walang-Awa (add no-mercy tell). To build: Abo ng Simula, Uhaw, Bakod, Kadena, Daan-Lihis, Gapos, Hati, Nawalang Mukha, Ngatngat, Punit, Yapos ng Dilim. Split one sub-task per enemy; Ugat six first (A, E/I, BA, MA, NA, TA). Acceptance per enemy: the effect in the rule sheet is visible in play and covered by CorruptionSignatureAbilityTests.

Audit id: T61. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-182 (IP, combat variety).",Story,High,combat demo-required audit-2026-09 revised-backlog phase-c,SALIN-2,,C - Level content,,,,SALIN-182,,,,Chad Denard Andrada
SALIN-260,T62,"[T62] Enemy era, lore, and lesson data; retire the colonial era enum","EnemyDataSO.era is Spanish/American/Japanese and the Almanac reveals only Spanish-era entries. Replace with Ugat/Ugnayan/Pamana, add corruptedMeaning, trueMeaning, lore and restoredLesson fields, author all 17 assets from the 2026-09-11 design, update GeneralAura, AlmanacController gate, EnemyDiscoveryCopyProvider and AlmanacDetailScroll. Ruling C2/C4: enemies move to the era where the spec teaches their symbol (Ugat adds Takip/TA; Ugnayan takes Uhaw/OU and Yapos ng Dilim/YA); replace the era enum with Ugat/Ugnayan/Pamana. Acceptance: defeating Mantsa in Level 1 shows a discovery card with ability, corrupted meaning, true meaning and restored lesson; Almanac groups by the era of first teaching.

Audit id: T62. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-185 (Done: 'historical names are archived'), SALIN-176 ('Paglimot manifestations').",Story,High,data content demo-required audit-2026-09 revised-backlog phase-c,SALIN-2,,C - Level content,T05,,,SALIN-185,,,,Chad Denard Andrada
SALIN-225,T63,"[T63] Remove combo powers, Focus Mode, and Endless Mode","Ruling Q15 (2026-09-11): all three are cut. Remove ComboManager/ComboPower, GameConfigSO combo/focus fields, ComboDisplay, FocusModeIndicator, EnemyMover focus multiplier, CombatResolver power effects, HeartSystem shield check, Level 2 ComboTeach/FocusModeTeach beats and sequence, the Endless Mode button and unlock flag; keep or migrate the endlessModeUnlocked save field; remove or rewrite related tests. Acceptance: no combo counter or Focus Mode indicator in any level; Level 2 onboarding no longer teaches combos; no Endless Mode button; suite green.

Audit id: T63. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-182 (IP, five-trace powers), SALIN-70 (To Do, Endless unlock), SALIN-117 (Done, L2 focus tutorial).",Task,Medium,cleanup demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,SALIN Sprint 8,B - Core loop,T07,,,SALIN-182,SALIN-70,,,Jeff Andre Millan
SALIN-261,T64,[T64] Design and author the RA enemy,"Ruling C1: DA and RA are separate characters, each with its own enemy; Daan-Lihis stays with DA. Design the RA enemy (appearance, ability, corrupted meaning, true meaning, lore, restored lesson), author EnemyData asset, prefab and art, register in EnemyPool and AlmanacEnemyRegistry, place in Level 13 and 15 waves. Acceptance: Level 13 spawns the RA enemy carrying Char_RA; drawing RA defeats it and DA does not; Almanac Enemies tab shows it in Pamana. Covers Combat design 6.1, Character Mastery RA, Level Flow L13.

Audit id: T64. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: NEW — existing Jira: none (SALIN-212 covers RA identity, not an enemy).",Story,Medium,content art demo-required audit-2026-09 revised-backlog phase-c,SALIN-2,,C - Level content,T05,T62,,SALIN-212,,,,Chad Denard Andrada
SALIN-241,T65,[T65] Design and build the Level 2 onboarding replacement,"T63 removes the ComboTeach and FocusModeTeach beats that make up Level2AdvancedOnboardingSequence. The team will supply a replacement design (what Level 2 teaches after Level 1 covers drawing, the base, and heart loss). Build the new OnboardingBeat(s) and sequence asset once the design lands. Acceptance: a first-time player entering Level 2 sees the new onboarding once; second entry skips it; Reset Journey brings it back. Covers UF-05 (tutorial active), Level Flow L2 Learning Flow.

Audit id: T65. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-116, SALIN-117 (Done, L2 tutorials).",Story,Medium,onboarding demo-required audit-2026-09 revised-backlog phase-b,SALIN-126,,B - Core loop,T63,,,SALIN-117,,,,Jeff Andre Millan
SALIN-226,T66,[T66] Support alternating defense and restoration segments in the level flow,"Plan review R4: Level Flow L5/L10 say combat alternates with paragraph blanks and L15 restores a paragraph line after each boss phase, but LevelFlowMachine/LevelPhasePlan run Defense once then ContextChallenge once. Add segment lists to LevelConfigSO (wave group -> challenge unit -> wave group ...), let the machine loop Defense/ContextChallenge segments, keep AtomicSave/Results at the end, and expose the segment boundary as a checkpoint for T20/T21. Acceptance: in Level 5, wave 1-2 clear opens paragraph line 1, correct restoration resumes wave 3, and dying in wave 3 restarts wave 3 with line 1 still locked. Covers Level Flow L5/L10/L15, Core Mechanics Victory, UF-23/UF-24.

Audit id: T66. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-178 (Done, nine-phase flow), SALIN-184 (IP, continuous restoration).",Story,Highest,flow demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,SALIN Sprint 8,B - Core loop,T11,,,SALIN-178,SALIN-184,,,Jeff Andre Millan
SALIN-227,T67,[T67] Bump the save schema and migrate or reset development saves,"Plan review R5: T05 (symbol.dara -> symbol.da + symbol.ra), T08 (objective flags), T63 (endless flag) all change CampaignSaveDocument/CampaignProgressOutcome; CampaignSaveValidator rejects unknown symbol ids so existing dev saves would block boot. Bump CurrentSaveSchemaVersion, extend CampaignSaveMigrator (or document a one-time dev reset via safe-reset), update CampaignSaveMigrationTests. Acceptance: a save written before T05/T08 opens after them with a migration or safe-reset notice and Level 1 is playable. Covers Global Safe Saving, UF-01.

Audit id: T67. Re-verified 2026-09-11 against dev @ cb41a966 (see docs/audit/BACKLOG.md). Duplicate pass: OVL — existing Jira: SALIN-171 (Done, migration), SALIN-143 (Done).",Task,High,save demo-required audit-2026-09 revised-backlog phase-b,SALIN-127,SALIN Sprint 8,B - Core loop,T05,T08,T63,SALIN-171,,,,Jeff Andre Millan
