Summary,Issue Type,Description,Acceptance Criteria,Component,Priority,Depends On,Source
Produce memory card art for Ugnayan Level 1,Task,"Memory card art is recorded as missing. Card for memory.ugnayan.01 (AWA, GAWA).","- Front and back sprites for memory.ugnayan.01 are imported and assigned in the memory card model
- Claiming the Level 6 memory shows the assigned art","Badge, level-number and memory art",Low,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-06
Produce memory card art for Ugnayan Level 2,Task,"Memory card art is recorded as missing. Card for memory.ugnayan.02 (SAMA, KASAMA).","- Front and back sprites for memory.ugnayan.02 are imported and assigned in the memory card model
- Claiming the Level 7 memory shows the assigned art","Badge, level-number and memory art",Low,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-06
Produce memory card art for Ugnayan Level 3,Task,"Memory card art is recorded as missing. Card for memory.ugnayan.03 (GANA, KAYA).","- Front and back sprites for memory.ugnayan.03 are imported and assigned in the memory card model
- Claiming the Level 8 memory shows the assigned art","Badge, level-number and memory art",Low,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-06
Produce memory card art for Ugnayan Level 4,Task,"Memory card art is recorded as missing. Card for memory.ugnayan.04 (OO, UNA).","- Front and back sprites for memory.ugnayan.04 are imported and assigned in the memory card model
- Claiming the Level 9 memory shows the assigned art","Badge, level-number and memory art",Low,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-06
Produce memory card art for Ugnayan Level 5,Task,"Memory card art is recorded as missing. Card for memory.ugnayan.05 (SANA, SAYA).","- Front and back sprites for memory.ugnayan.05 are imported and assigned in the memory card model
- Claiming the Level 10 memory shows the assigned art","Badge, level-number and memory art",Low,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-06
Produce memory card art for Pamana Level 1,Task,"Memory card art is recorded as missing. Card for memory.pamana.01 (DALA, DAMA).","- Front and back sprites for memory.pamana.01 are imported and assigned in the memory card model
- Claiming the Level 11 memory shows the assigned art","Badge, level-number and memory art",Low,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-11
Produce memory card art for Pamana Level 2,Task,"Memory card art is recorded as missing. Card for memory.pamana.02 (HANGA, HALAGA).","- Front and back sprites for memory.pamana.02 are imported and assigned in the memory card model
- Claiming the Level 12 memory shows the assigned art","Badge, level-number and memory art",Low,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-11
Produce memory card art for Pamana Level 3,Task,"Memory card art is recorded as missing. Card for memory.pamana.03 (SANGA, HARAYA).","- Front and back sprites for memory.pamana.03 are imported and assigned in the memory card model
- Claiming the Level 13 memory shows the assigned art","Badge, level-number and memory art",Low,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-13
Produce memory card art for Pamana Level 4,Task,"Memory card art is recorded as missing. Card for memory.pamana.04 (ALAALA, MAHALAGA).","- Front and back sprites for memory.pamana.04 are imported and assigned in the memory card model
- Claiming the Level 14 memory shows the assigned art","Badge, level-number and memory art",Low,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-11
Produce memory card art for Pamana Level 5,Task,"Memory card art is recorded as missing. Card for memory.pamana.05 (PAMANA, MALAYA).","- Front and back sprites for memory.pamana.05 are imported and assigned in the memory card model
- Claiming the Level 15 memory shows the assigned art","Badge, level-number and memory art",Low,Add front and back art references to the memory card model,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-15
Build the LevelPreviewPanel overlay,Task,"SALIN-243 was closed with no implementation. The story-summary field has no data source and is an open question, so it is excluded here.","- A self-building overlay shows levelName, each focus word's displayLabel, the symbols whose firstIntroductionLevelId is this level, and the best star count from CampaignProgressRepository
- It has Enter Memory and Back controls
- It opens from a Show(LevelConfigSO) call",Level Preview screen,Medium,none,02-journey-map-and-level-entry.md · MAP-12
Open the Level Preview from a Level Select tap instead of loading gameplay,Task,LevelButton loads gameplay directly.,"- Tapping an unlocked LevelButton opens the preview; gameplay loads only on Enter Memory
- Back returns to Level Select without a scene load",Level Preview screen,Medium,Build the LevelPreviewPanel overlay,02-journey-map-and-level-entry.md · MAP-12
Add Hear Target Words to the Level Preview,Task,Spec BTN-HEAR on the preview.,"- Tapping a target word plays its decomposition's pronunciation clips in order
- The control is hidden for a word with any null clip",Level Preview screen,Medium,Build the LevelPreviewPanel overlay,02-journey-map-and-level-entry.md · MAP-12
Add View Symbols to the Level Preview,Task,Spec lists a View Symbols control.,- View Symbols opens AlmanacDetailScroll for each new symbol in turn and returns to the preview after the last,Level Preview screen,Low,Build the LevelPreviewPanel overlay,02-journey-map-and-level-entry.md · MAP-12
Route the Results Next Level control through the Level Preview,Task,"Spec BTN-NEXT-LEVEL goes to the preview, not straight into gameplay.",- Next Level on the Results screen opens the next level's preview instead of loading gameplay,Level Preview screen,Low,Open the Level Preview from a Level Select tap instead of loading gameplay,02-journey-map-and-level-entry.md · MAP-12
Add tap-to-hear syllable buttons to the focus-word preview,Task,The preview is a single text block.,"- Each syllable in a word's decomposition is a button that plays its spoken value's clip
- A syllable with a null clip renders as a label, not a button",Focus-word preview upgrade,High,none,05-baybayin-learning.md · LEARN-15
Add a Hear Word control to the focus-word preview,Task,Spec BTN-HEAR plays the whole word.,- A Hear Word control plays the word's syllable clips in sequence with no overlap,Focus-word preview upgrade,High,none,05-baybayin-learning.md · LEARN-15
Add a context image slot to the focus-word preview,Task,FocusWordDefinition.media.contextImage is never rendered.,"- The preview renders media.contextImage above each word when assigned
- The slot is hidden when contextImage is null",Focus-word preview upgrade,High,none,05-baybayin-learning.md · LEARN-15
Disable the focus-word preview Continue until both words are tapped,Task,Spec inspection gating.,"- Continue is non-interactable until each word card has received at least one tap
- An EditMode test covers the gate",Focus-word preview upgrade,Medium,none,05-baybayin-learning.md · LEARN-15
Render the focus-word decomposition with glyph badge sprites,Task,Latin syllables are the documented fallback while badge art is missing.,"- Each decomposition syllable renders its character's badgeSprite
- A Latin label is shown only when badgeSprite is null",Focus-word preview upgrade,Medium,Produce glyph badge sprites for the symbols missing badge art,05-baybayin-learning.md · LEARN-14
Produce context images for Ugat Level 1 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: INA, AMA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level1_Config,Focus-word preview upgrade,High,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-01
Produce context images for Ugat Level 2 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: BATA, MATA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level2_Config,Focus-word preview upgrade,High,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; COVERAGE.md · LVL-02
Produce context images for Ugat Level 3 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: BATA, TAMA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level3_Config,Focus-word preview upgrade,High,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-03
Produce context images for Ugat Level 4 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: INA, AMA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level4_Config,Focus-word preview upgrade,High,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-03
Produce context images for Ugat Level 5 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: IBA, MANA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level5_Config,Focus-word preview upgrade,High,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-05
Produce context images for Ugnayan Level 1 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: AWA, GAWA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level6_Config,Focus-word preview upgrade,Medium,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-06
Produce context images for Ugnayan Level 2 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: SAMA, KASAMA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level7_Config,Focus-word preview upgrade,Medium,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-06
Produce context images for Ugnayan Level 3 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: GANA, KAYA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level8_Config,Focus-word preview upgrade,Medium,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-06
Produce context images for Ugnayan Level 4 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: OO, UNA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level9_Config,Focus-word preview upgrade,Medium,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-06
Produce context images for Ugnayan Level 5 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: SANA, SAYA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level10_Config,Focus-word preview upgrade,Medium,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-06
Produce context images for Pamana Level 1 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: DALA, DAMA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level11_Config,Focus-word preview upgrade,Medium,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-11
Produce context images for Pamana Level 2 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: HANGA, HALAGA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level12_Config,Focus-word preview upgrade,Medium,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-11
Produce context images for Pamana Level 3 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: SANGA, HARAYA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level13_Config,Focus-word preview upgrade,Medium,Add a context image slot to the focus-word preview; Author Level 13 focus words SANGA and HARAYA with a context-selected RA,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-13
Produce context images for Pamana Level 4 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: ALAALA, MAHALAGA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level14_Config,Focus-word preview upgrade,Medium,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-11
Produce context images for Pamana Level 5 focus words,Task,"Ruling Q10 puts per-word context art in demo scope. Words: PAMANA, MALAYA.",- Two sprites are imported and assigned to focusWords[0].media.contextImage and focusWords[1].media.contextImage on Level15_Config,Focus-word preview upgrade,Medium,Add a context image slot to the focus-word preview,05-baybayin-learning.md · LEARN-15; 15-levels-and-content-coverage.md · LVL-15
Author dialogue assets for Ugnayan Level 1,Task,"No Dialogue_Ugnayan* assets exist. Copy source: docs/content/ugnayan-levels-6-10-narrative.md. Words: AWA, GAWA.","- Dialogue_Ugnayan01_Intro, Dialogue_Ugnayan01_Outro and one DialogueSO per focus word exist with Filipino copy
- They are assigned to introDialogue, outroDialogue and focusWords[].media.dialogue on Level6_Config",Ugnayan era content (Levels 6-10),Medium,none,03-story-and-dialogue.md · STORY-04; 03-story-and-dialogue.md · STORY-05; 03-story-and-dialogue.md · STORY-09; 15-levels-and-content-coverage.md · LVL-06
Author the memory cutscene asset for Ugnayan Level 1,Task,No Cutscene_Ugnayan* assets exist.,"- Cutscene_Ugnayan01_Memory exists with Filipino panel copy
- It is assigned to contextMedia.cutscene on Level6_Config",Ugnayan era content (Levels 6-10),Medium,none,03-story-and-dialogue.md · STORY-10; 15-levels-and-content-coverage.md · LVL-06
Produce memory cutscene panel art for Ugnayan Level 1,Task,"Memory art is in scope for the team to produce (ruling, 2026-09-11).",- Every panel of Cutscene_Ugnayan01_Memory has a non-null sprite,Ugnayan era content (Levels 6-10),Medium,Author the memory cutscene asset for Ugnayan Level 1,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-06
Author rewardIds for Ugnayan Level 1,Task,"Level6_Config.rewardIds is empty, so the content-missing guard refuses completion.","- Level6_Config.rewardIds contains memory.ugnayan.01
- LevelPhasePlan.FromConfig(Level6_Config).MemoryRewardContentMissing is false (EditMode test)",Ugnayan era content (Levels 6-10),Medium,Author the memory cutscene asset for Ugnayan Level 1,COVERAGE.md · FLOW-03; 15-levels-and-content-coverage.md · LVL-06
Author dialogue assets for Ugnayan Level 2,Task,"No Dialogue_Ugnayan* assets exist. Copy source: docs/content/ugnayan-levels-6-10-narrative.md. Words: SAMA, KASAMA.","- Dialogue_Ugnayan02_Intro, Dialogue_Ugnayan02_Outro and one DialogueSO per focus word exist with Filipino copy
- They are assigned to introDialogue, outroDialogue and focusWords[].media.dialogue on Level7_Config",Ugnayan era content (Levels 6-10),Medium,none,03-story-and-dialogue.md · STORY-04; 03-story-and-dialogue.md · STORY-05; 03-story-and-dialogue.md · STORY-09; 15-levels-and-content-coverage.md · LVL-06
Author the memory cutscene asset for Ugnayan Level 2,Task,No Cutscene_Ugnayan* assets exist.,"- Cutscene_Ugnayan02_Memory exists with Filipino panel copy
- It is assigned to contextMedia.cutscene on Level7_Config",Ugnayan era content (Levels 6-10),Medium,none,03-story-and-dialogue.md · STORY-10; 15-levels-and-content-coverage.md · LVL-06
Produce memory cutscene panel art for Ugnayan Level 2,Task,"Memory art is in scope for the team to produce (ruling, 2026-09-11).",- Every panel of Cutscene_Ugnayan02_Memory has a non-null sprite,Ugnayan era content (Levels 6-10),Medium,Author the memory cutscene asset for Ugnayan Level 2,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-06
Author rewardIds for Ugnayan Level 2,Task,"Level7_Config.rewardIds is empty, so the content-missing guard refuses completion.","- Level7_Config.rewardIds contains memory.ugnayan.02
- LevelPhasePlan.FromConfig(Level7_Config).MemoryRewardContentMissing is false (EditMode test)",Ugnayan era content (Levels 6-10),Medium,Author the memory cutscene asset for Ugnayan Level 2,COVERAGE.md · FLOW-03; 15-levels-and-content-coverage.md · LVL-06
Author dialogue assets for Ugnayan Level 3,Task,"No Dialogue_Ugnayan* assets exist. Copy source: docs/content/ugnayan-levels-6-10-narrative.md. Words: GANA, KAYA.","- Dialogue_Ugnayan03_Intro, Dialogue_Ugnayan03_Outro and one DialogueSO per focus word exist with Filipino copy
- They are assigned to introDialogue, outroDialogue and focusWords[].media.dialogue on Level8_Config",Ugnayan era content (Levels 6-10),Medium,none,03-story-and-dialogue.md · STORY-04; 03-story-and-dialogue.md · STORY-05; 03-story-and-dialogue.md · STORY-09; 15-levels-and-content-coverage.md · LVL-06
Author the memory cutscene asset for Ugnayan Level 3,Task,No Cutscene_Ugnayan* assets exist.,"- Cutscene_Ugnayan03_Memory exists with Filipino panel copy
- It is assigned to contextMedia.cutscene on Level8_Config",Ugnayan era content (Levels 6-10),Medium,none,03-story-and-dialogue.md · STORY-10; 15-levels-and-content-coverage.md · LVL-06
Produce memory cutscene panel art for Ugnayan Level 3,Task,"Memory art is in scope for the team to produce (ruling, 2026-09-11).",- Every panel of Cutscene_Ugnayan03_Memory has a non-null sprite,Ugnayan era content (Levels 6-10),Medium,Author the memory cutscene asset for Ugnayan Level 3,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-06
Author rewardIds for Ugnayan Level 3,Task,"Level8_Config.rewardIds is empty, so the content-missing guard refuses completion.","- Level8_Config.rewardIds contains memory.ugnayan.03
- LevelPhasePlan.FromConfig(Level8_Config).MemoryRewardContentMissing is false (EditMode test)",Ugnayan era content (Levels 6-10),Medium,Author the memory cutscene asset for Ugnayan Level 3,COVERAGE.md · FLOW-03; 15-levels-and-content-coverage.md · LVL-06
Author dialogue assets for Ugnayan Level 4,Task,"No Dialogue_Ugnayan* assets exist. Copy source: docs/content/ugnayan-levels-6-10-narrative.md. Words: OO, UNA.","- Dialogue_Ugnayan04_Intro, Dialogue_Ugnayan04_Outro and one DialogueSO per focus word exist with Filipino copy
- They are assigned to introDialogue, outroDialogue and focusWords[].media.dialogue on Level9_Config",Ugnayan era content (Levels 6-10),Medium,none,03-story-and-dialogue.md · STORY-04; 03-story-and-dialogue.md · STORY-05; 03-story-and-dialogue.md · STORY-09; 15-levels-and-content-coverage.md · LVL-06
Author the memory cutscene asset for Ugnayan Level 4,Task,No Cutscene_Ugnayan* assets exist.,"- Cutscene_Ugnayan04_Memory exists with Filipino panel copy
- It is assigned to contextMedia.cutscene on Level9_Config",Ugnayan era content (Levels 6-10),Medium,none,03-story-and-dialogue.md · STORY-10; 15-levels-and-content-coverage.md · LVL-06
Produce memory cutscene panel art for Ugnayan Level 4,Task,"Memory art is in scope for the team to produce (ruling, 2026-09-11).",- Every panel of Cutscene_Ugnayan04_Memory has a non-null sprite,Ugnayan era content (Levels 6-10),Medium,Author the memory cutscene asset for Ugnayan Level 4,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-06
Author rewardIds for Ugnayan Level 4,Task,"Level9_Config.rewardIds is empty, so the content-missing guard refuses completion.","- Level9_Config.rewardIds contains memory.ugnayan.04
- LevelPhasePlan.FromConfig(Level9_Config).MemoryRewardContentMissing is false (EditMode test)",Ugnayan era content (Levels 6-10),Medium,Author the memory cutscene asset for Ugnayan Level 4,COVERAGE.md · FLOW-03; 15-levels-and-content-coverage.md · LVL-06
Author dialogue assets for Ugnayan Level 5,Task,"No Dialogue_Ugnayan* assets exist. Copy source: docs/content/ugnayan-levels-6-10-narrative.md. Words: SANA, SAYA.","- Dialogue_Ugnayan05_Intro, Dialogue_Ugnayan05_Outro and one DialogueSO per focus word exist with Filipino copy
- They are assigned to introDialogue, outroDialogue and focusWords[].media.dialogue on Level10_Config",Ugnayan era content (Levels 6-10),Medium,none,03-story-and-dialogue.md · STORY-04; 03-story-and-dialogue.md · STORY-05; 03-story-and-dialogue.md · STORY-09; 15-levels-and-content-coverage.md · LVL-06
Author the memory cutscene asset for Ugnayan Level 5,Task,No Cutscene_Ugnayan* assets exist.,"- Cutscene_Ugnayan05_Memory exists with Filipino panel copy
- It is assigned to contextMedia.cutscene on Level10_Config",Ugnayan era content (Levels 6-10),Medium,none,03-story-and-dialogue.md · STORY-10; 15-levels-and-content-coverage.md · LVL-06
Produce memory cutscene panel art for Ugnayan Level 5,Task,"Memory art is in scope for the team to produce (ruling, 2026-09-11).",- Every panel of Cutscene_Ugnayan05_Memory has a non-null sprite,Ugnayan era content (Levels 6-10),Medium,Author the memory cutscene asset for Ugnayan Level 5,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-06
Author rewardIds for Ugnayan Level 5,Task,"Level10_Config.rewardIds is empty, so the content-missing guard refuses completion.","- Level10_Config.rewardIds contains memory.ugnayan.05
- LevelPhasePlan.FromConfig(Level10_Config).MemoryRewardContentMissing is false (EditMode test)",Ugnayan era content (Levels 6-10),Medium,Author the memory cutscene asset for Ugnayan Level 5,COVERAGE.md · FLOW-03; 15-levels-and-content-coverage.md · LVL-06
Author dialogue assets for Pamana Level 1,Task,"No Dialogue_Pamana* assets exist. Copy source: docs/content/pamana-levels-11-15-narrative.md. Words: DALA, DAMA.","- Dialogue_Pamana01_Intro, Dialogue_Pamana01_Outro and one DialogueSO per focus word exist with Filipino copy
- They are assigned to introDialogue, outroDialogue and focusWords[].media.dialogue on Level11_Config",Pamana era content (Levels 11-15),Medium,none,03-story-and-dialogue.md · STORY-04; 03-story-and-dialogue.md · STORY-05; 03-story-and-dialogue.md · STORY-09; 15-levels-and-content-coverage.md · LVL-11
Author the memory cutscene asset for Pamana Level 1,Task,No Cutscene_Pamana* assets exist.,"- Cutscene_Pamana01_Memory exists with Filipino panel copy
- It is assigned to contextMedia.cutscene on Level11_Config",Pamana era content (Levels 11-15),Medium,none,03-story-and-dialogue.md · STORY-10; 15-levels-and-content-coverage.md · LVL-11
Produce memory cutscene panel art for Pamana Level 1,Task,"Memory art is in scope for the team to produce (ruling, 2026-09-11).",- Every panel of Cutscene_Pamana01_Memory has a non-null sprite,Pamana era content (Levels 11-15),Medium,Author the memory cutscene asset for Pamana Level 1,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-11
Author rewardIds for Pamana Level 1,Task,"Level11_Config.rewardIds is empty, so the content-missing guard refuses completion.","- Level11_Config.rewardIds contains memory.pamana.01
- LevelPhasePlan.FromConfig(Level11_Config).MemoryRewardContentMissing is false (EditMode test)",Pamana era content (Levels 11-15),Medium,Author the memory cutscene asset for Pamana Level 1,COVERAGE.md · FLOW-03; 15-levels-and-content-coverage.md · LVL-11
Author dialogue assets for Pamana Level 2,Task,"No Dialogue_Pamana* assets exist. Copy source: docs/content/pamana-levels-11-15-narrative.md. Words: HANGA, HALAGA.","- Dialogue_Pamana02_Intro, Dialogue_Pamana02_Outro and one DialogueSO per focus word exist with Filipino copy
- They are assigned to introDialogue, outroDialogue and focusWords[].media.dialogue on Level12_Config",Pamana era content (Levels 11-15),Medium,none,03-story-and-dialogue.md · STORY-04; 03-story-and-dialogue.md · STORY-05; 03-story-and-dialogue.md · STORY-09; 15-levels-and-content-coverage.md · LVL-11
Author the memory cutscene asset for Pamana Level 2,Task,No Cutscene_Pamana* assets exist.,"- Cutscene_Pamana02_Memory exists with Filipino panel copy
- It is assigned to contextMedia.cutscene on Level12_Config",Pamana era content (Levels 11-15),Medium,none,03-story-and-dialogue.md · STORY-10; 15-levels-and-content-coverage.md · LVL-11
Produce memory cutscene panel art for Pamana Level 2,Task,"Memory art is in scope for the team to produce (ruling, 2026-09-11).",- Every panel of Cutscene_Pamana02_Memory has a non-null sprite,Pamana era content (Levels 11-15),Medium,Author the memory cutscene asset for Pamana Level 2,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-11
Author rewardIds for Pamana Level 2,Task,"Level12_Config.rewardIds is empty, so the content-missing guard refuses completion.","- Level12_Config.rewardIds contains memory.pamana.02
- LevelPhasePlan.FromConfig(Level12_Config).MemoryRewardContentMissing is false (EditMode test)",Pamana era content (Levels 11-15),Medium,Author the memory cutscene asset for Pamana Level 2,COVERAGE.md · FLOW-03; 15-levels-and-content-coverage.md · LVL-11
Author dialogue assets for Pamana Level 3,Task,"No Dialogue_Pamana* assets exist. Copy source: docs/content/pamana-levels-11-15-narrative.md. Words: SANGA, HARAYA.","- Dialogue_Pamana03_Intro, Dialogue_Pamana03_Outro and one DialogueSO per focus word exist with Filipino copy
- They are assigned to introDialogue, outroDialogue and focusWords[].media.dialogue on Level13_Config",Pamana era content (Levels 11-15),Medium,none,03-story-and-dialogue.md · STORY-04; 03-story-and-dialogue.md · STORY-05; 03-story-and-dialogue.md · STORY-09; 15-levels-and-content-coverage.md · LVL-13
Author the memory cutscene asset for Pamana Level 3,Task,No Cutscene_Pamana* assets exist.,"- Cutscene_Pamana03_Memory exists with Filipino panel copy
- It is assigned to contextMedia.cutscene on Level13_Config",Pamana era content (Levels 11-15),Medium,none,03-story-and-dialogue.md · STORY-10; 15-levels-and-content-coverage.md · LVL-13
Produce memory cutscene panel art for Pamana Level 3,Task,"Memory art is in scope for the team to produce (ruling, 2026-09-11).",- Every panel of Cutscene_Pamana03_Memory has a non-null sprite,Pamana era content (Levels 11-15),Medium,Author the memory cutscene asset for Pamana Level 3,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-13
Author rewardIds for Pamana Level 3,Task,"Level13_Config.rewardIds is empty, so the content-missing guard refuses completion.","- Level13_Config.rewardIds contains memory.pamana.03
- LevelPhasePlan.FromConfig(Level13_Config).MemoryRewardContentMissing is false (EditMode test)",Pamana era content (Levels 11-15),Medium,Author the memory cutscene asset for Pamana Level 3,COVERAGE.md · FLOW-03; 15-levels-and-content-coverage.md · LVL-13
Author dialogue assets for Pamana Level 4,Task,"No Dialogue_Pamana* assets exist. Copy source: docs/content/pamana-levels-11-15-narrative.md. Words: ALAALA, MAHALAGA.","- Dialogue_Pamana04_Intro, Dialogue_Pamana04_Outro and one DialogueSO per focus word exist with Filipino copy
- They are assigned to introDialogue, outroDialogue and focusWords[].media.dialogue on Level14_Config",Pamana era content (Levels 11-15),Medium,none,03-story-and-dialogue.md · STORY-04; 03-story-and-dialogue.md · STORY-05; 03-story-and-dialogue.md · STORY-09; 15-levels-and-content-coverage.md · LVL-11
Author the memory cutscene asset for Pamana Level 4,Task,No Cutscene_Pamana* assets exist.,"- Cutscene_Pamana04_Memory exists with Filipino panel copy
- It is assigned to contextMedia.cutscene on Level14_Config",Pamana era content (Levels 11-15),Medium,none,03-story-and-dialogue.md · STORY-10; 15-levels-and-content-coverage.md · LVL-11
Produce memory cutscene panel art for Pamana Level 4,Task,"Memory art is in scope for the team to produce (ruling, 2026-09-11).",- Every panel of Cutscene_Pamana04_Memory has a non-null sprite,Pamana era content (Levels 11-15),Medium,Author the memory cutscene asset for Pamana Level 4,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-11
Author rewardIds for Pamana Level 4,Task,"Level14_Config.rewardIds is empty, so the content-missing guard refuses completion.","- Level14_Config.rewardIds contains memory.pamana.04
- LevelPhasePlan.FromConfig(Level14_Config).MemoryRewardContentMissing is false (EditMode test)",Pamana era content (Levels 11-15),Medium,Author the memory cutscene asset for Pamana Level 4,COVERAGE.md · FLOW-03; 15-levels-and-content-coverage.md · LVL-11
Author dialogue assets for Pamana Level 5,Task,"No Dialogue_Pamana* assets exist. Copy source: docs/content/pamana-levels-11-15-narrative.md. Words: PAMANA, MALAYA.","- Dialogue_Pamana05_Intro, Dialogue_Pamana05_Outro and one DialogueSO per focus word exist with Filipino copy
- They are assigned to introDialogue, outroDialogue and focusWords[].media.dialogue on Level15_Config",Pamana era content (Levels 11-15),Medium,none,03-story-and-dialogue.md · STORY-04; 03-story-and-dialogue.md · STORY-05; 03-story-and-dialogue.md · STORY-09; 15-levels-and-content-coverage.md · LVL-15
Author the memory cutscene asset for Pamana Level 5,Task,No Cutscene_Pamana* assets exist.,"- Cutscene_Pamana05_Memory exists with Filipino panel copy
- It is assigned to contextMedia.cutscene on Level15_Config",Pamana era content (Levels 11-15),Medium,none,03-story-and-dialogue.md · STORY-10; 15-levels-and-content-coverage.md · LVL-15
Produce memory cutscene panel art for Pamana Level 5,Task,"Memory art is in scope for the team to produce (ruling, 2026-09-11).",- Every panel of Cutscene_Pamana05_Memory has a non-null sprite,Pamana era content (Levels 11-15),Medium,Author the memory cutscene asset for Pamana Level 5,11-results-rewards-and-progression.md · MEM-06; 15-levels-and-content-coverage.md · LVL-15
