Summary,Issue Type,Epic Name,Parent,Description,Acceptance Criteria,Stage,Story ID,Priority,Labels,Source
Ngatngat threatens the progress I have made,Story,,Stage 12 — Signature abilities,"As a player, I want Ngatngat to eat into my progress, so that letting it live costs me something.","- While Ngatngat is alive, it consumes restoration progress on a repeating cycle.
- The consumption stops the moment it is defeated.",Signature abilities,US-083,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-083
Uhaw drains my hint budget,Story,,Stage 12 — Signature abilities,"As a player, I want Uhaw to take my safety net rather than my health, so that its threat is different from every other enemy.","- While Uhaw is alive, the hints available in this level are reduced.
- Uhaw takes no hearts and deals no shrine damage.",Signature abilities,US-084,Medium,player-journey stage-12,PLAYER-JOURNEY.md · US-084
Stage 13 — Armoured enemies,Epic,Stage 13 — Armoured enemies,,"Stage 13 of the player journey (US-085–US-086, 2 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Armoured enemies,,Medium,player-journey stage-13,PLAYER-JOURNEY.md · Stage 13
Draw twice for a tougher enemy,Story,,Stage 13 — Armoured enemies,"As a player, I want some enemies to take more than one correct answer, so that a few demand sustained attention.","- An armoured enemy survives the first correct drawing.
- Some armoured enemies demand a different symbol after the first hit.",Armoured enemies,US-085,Medium,player-journey stage-13,PLAYER-JOURNEY.md · US-085
See an enemy react when I hit it,Story,,Stage 13 — Armoured enemies,"As a player, I want a visible reaction on a non-lethal hit, so that partial progress still reads as progress.",- A hit that does not kill produces a visible reaction on the enemy.,Armoured enemies,US-086,Medium,player-journey stage-13,PLAYER-JOURNEY.md · US-086
Stage 14 — Restoring the words,Epic,Stage 14 — Restoring the words,,"Stage 14 of the player journey (US-087–US-094, 8 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Restoring the words,,Medium,player-journey stage-14,PLAYER-JOURNEY.md · Stage 14
See the text I am restoring while I fight,Story,,Stage 14 — Restoring the words,"As a player, I want the target words on screen during combat, so that I can watch defending turn into restoring.",- The target words are shown with their filled and empty slots during combat.,Restoring the words,US-087,Medium,player-journey stage-14,PLAYER-JOURNEY.md · US-087
Have a syllable fill itself when I earn it,Story,,Stage 14 — Restoring the words,"As a player, I want a correct drawing to restore the word directly, so that I never switch from fighting to a separate puzzle.","- Defeating an enemy carrying a needed syllable fills that syllable's slot.
- Slots fill in reading order.",Restoring the words,US-088,Medium,player-journey stage-14,PLAYER-JOURNEY.md · US-088
See a syllable land,Story,,Stage 14 — Restoring the words,"As a player, I want a clear beat when a slot fills, so that restoring feels like an achievement.","- Filling a slot produces a distinct visual and audible response.
- A rejected placement has its own distinct response.",Restoring the words,US-089,Medium,player-journey stage-14,PLAYER-JOURNEY.md · US-089
Win by completing the words,Story,,Stage 14 — Restoring the words,"As a player, I want finishing the text to end the fight, so that the language goal is what wins the level.",- Completing every required slot ends the encounter.,Restoring the words,US-090,Medium,player-journey stage-14,PLAYER-JOURNEY.md · US-090
Put words back into a sentence,Story,,Stage 14 — Restoring the words,"As a player, I want to place missing words into a sentence, so that I prove I know what they mean in context.","- A sentence with gaps is presented with word choices.
- A correct placement locks; a wrong one is rejected and returned.",Restoring the words,US-091,Medium,player-journey stage-14,PLAYER-JOURNEY.md · US-091
Match a word to what it means,Story,,Stage 14 — Restoring the words,"As a player, I want to pick which word means which thing, so that I learn meaning and not just shapes.",- A challenge asks me to bind words to their meanings or images.,Restoring the words,US-092,Medium,player-journey stage-14,PLAYER-JOURNEY.md · US-092
Restore words by their root,Story,,Stage 14 — Restoring the words,"As a player, I want prefixes and repetition to stay fixed, so that I am only asked to place real root words.","- Only root words are placeable.
- Affixes and repeated parts are fixed text around the gap.",Restoring the words,US-093,Medium,player-journey stage-14,PLAYER-JOURNEY.md · US-093
Recall a word from memory,Story,,Stage 14 — Restoring the words,"As a player, I want a step that shows the answer and then hides it, so that my memory is tested rather than my copying.","- The answer is shown briefly, then hidden before I must respond.",Restoring the words,US-094,Medium,player-journey stage-14,PLAYER-JOURNEY.md · US-094
Stage 15 — Difficulty and hints,Epic,Stage 15 — Difficulty and hints,,"Stage 15 of the player journey (US-095–US-100, 6 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Difficulty and hints,,Medium,player-journey stage-15,PLAYER-JOURNEY.md · Stage 15
Be treated gently the first few times,Story,,Stage 15 — Difficulty and hints,"As a beginner, I want early mistakes not to cost hearts, so that I can learn the mechanic safely.","- In the first levels of an era, a wrong placement is a retry and costs no heart.",Difficulty and hints,US-095,Medium,player-journey stage-15,PLAYER-JOURNEY.md · US-095
Pay for mistakes once I know better,Story,,Stage 15 — Difficulty and hints,"As a player, I want errors to cost something in later levels, so that the challenge stays real.","- In later levels, repeated wrong placements cost a heart.
- A penalty sends me back only to the current checkpoint, not the start of the level.",Difficulty and hints,US-096,Medium,player-journey stage-15,PLAYER-JOURNEY.md · US-096
Ask for help when I am stuck,Story,,Stage 15 — Difficulty and hints,"As a player, I want a hint available, so that being stuck is not the end of the run.",- A hint control is available during a restoration challenge.,Difficulty and hints,US-097,Medium,player-journey stage-15,PLAYER-JOURNEY.md · US-097
Know what a hint costs before I take it,Story,,Stage 15 — Difficulty and hints,"As a player, I want to confirm a hint and see its price, so that I am never charged by accident.","- Choosing a hint shows what it will cost before it is applied.
- Cancelling costs nothing and changes nothing.",Difficulty and hints,US-098,Medium,player-journey stage-15,PLAYER-JOURNEY.md · US-098
Not have a hint do the work for me,Story,,Stage 15 — Difficulty and hints,"As a player, I want a hint to help rather than finish the job, so that I still earn the result.","- A hint explains, reveals one piece, or replays a sound.
- No hint completes a whole required word.",Difficulty and hints,US-099,Medium,player-journey stage-15,PLAYER-JOURNEY.md · US-099
Be told when I have no hints left,Story,,Stage 15 — Difficulty and hints,"As a player, I want the hint control to say it is spent, so that pressing it is never silently ignored.","- When hints run out, the control says so.
- The cost of hints I used is reflected in my level result.",Difficulty and hints,US-100,Medium,player-journey stage-15,PLAYER-JOURNEY.md · US-100
Stage 16 — The final syllable,Epic,Stage 16 — The final syllable,,"Stage 16 of the player journey (US-101–US-102, 2 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,The final syllable,,Medium,player-journey stage-16,PLAYER-JOURNEY.md · Stage 16
Finish a level by writing its last symbol,Story,,Stage 16 — The final syllable,"As a player, I want the last act of a level to be one deliberate drawing, so that finishing has weight.","- After the words are placed, the final word is shown with its last slot empty.
- Writing the correct final symbol completes the level.
- Any other symbol is rejected and the slot stays empty.",The final syllable,US-101,Medium,player-journey stage-16,PLAYER-JOURNEY.md · US-101
Not be able to skip the last symbol,Story,,Stage 16 — The final syllable,"As a player, I want the final symbol to be unavoidable, so that no level can be finished without it.","- The level cannot be completed without writing the final symbol.
- No hint or timeout completes it for me.",The final syllable,US-102,Medium,player-journey stage-16,PLAYER-JOURNEY.md · US-102
Stage 17 — The era paragraph,Epic,Stage 17 — The era paragraph,,"Stage 17 of the player journey (US-103–US-105, 3 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,The era paragraph,,Medium,player-journey stage-17,PLAYER-JOURNEY.md · Stage 17
Restore a whole passage at the end of an era,Story,,Stage 17 — The era paragraph,"As a player, I want the last level of each era to ask for a full passage, so that the era's five levels come together.","- The fifth level of each era requires a passage in addition to its two new words.
- Words from earlier levels in the era appear as review gaps.",The era paragraph,US-103,Medium,player-journey stage-17,PLAYER-JOURNEY.md · US-103
Switch between fighting and restoring,Story,,Stage 17 — The era paragraph,"As a player, I want later levels to alternate combat and restoration, so that the two halves of the game interleave.","- Clearing a group of waves opens a passage line to restore.
- Completing that line resumes the next group of waves.",The era paragraph,US-104,Medium,player-journey stage-17,PLAYER-JOURNEY.md · US-104
Keep the lines I have already restored,Story,,Stage 17 — The era paragraph,"As a player, I want a completed line to stay completed, so that a later mistake does not cost me the whole passage.","- A restored line stays locked if I fail later in the level.
- A penalty resets only the line I am working on.",The era paragraph,US-105,Medium,player-journey stage-17,PLAYER-JOURNEY.md · US-105
Stage 18 — The memory reward,Epic,Stage 18 — The memory reward,,"Stage 18 of the player journey (US-106–US-109, 4 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,The memory reward,,Medium,player-journey stage-18,PLAYER-JOURNEY.md · Stage 18
Watch the memory I restored,Story,,Stage 18 — The memory reward,"As a player, I want a scene when I finish restoring, so that my work visibly brings something back.",- Completing the restoration plays the level's memory scene.,The memory reward,US-106,Medium,player-journey stage-18,PLAYER-JOURNEY.md · US-106
Keep the memory I earned,Story,,Stage 18 — The memory reward,"As a player, I want a keepsake at the end of a level, so that the restoration leaves me something permanent.","- I claim a memory card at the end of the level.
- The card shows the level's words in Baybayin and in Latin letters, with a short piece of lore.",The memory reward,US-107,Medium,player-journey stage-18,PLAYER-JOURNEY.md · US-107
Revisit every memory I have earned,Story,,Stage 18 — The memory reward,"As a player, I want an archive of my memories, so that the collection is worth completing.","- An archive lists every memory in the campaign, grouped by era.
- Claimed memories can be opened and read again.",The memory reward,US-108,Medium,player-journey stage-18,PLAYER-JOURNEY.md · US-108
See which memories I have yet to earn,Story,,Stage 18 — The memory reward,"As a player, I want unclaimed memories shown, so that I can see what is left.",- An unclaimed memory shows as locked and names the level that awards it.,The memory reward,US-109,Medium,player-journey stage-18,PLAYER-JOURNEY.md · US-109
Stage 19 — Results,Epic,Stage 19 — Results,,"Stage 19 of the player journey (US-110–US-116, 7 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Results,,Medium,player-journey stage-19,PLAYER-JOURNEY.md · Stage 19
Have the fight acknowledged before the puzzle,Story,,Stage 19 — Results,"As a player, I want a beat after the last enemy falls, so that combat does not cut straight into restoration.","- Clearing the final wave shows a screen with my surviving hearts.
- Nothing advances until I choose to continue.",Results,US-110,Medium,player-journey stage-19,PLAYER-JOURNEY.md · US-110
See how the level went,Story,,Stage 19 — Results,"As a player, I want a summary when I finish a level, so that the attempt is properly closed off.",- A results screen appears after the level is complete.,Results,US-111,Medium,player-journey stage-19,PLAYER-JOURNEY.md · US-111
Be rated out of three stars,Story,,Stage 19 — Results,"As a player, I want a star rating, so that I have something to beat on a replay.","- One star is awarded for completing the level.
- Two and three stars additionally require keeping hearts and answering accurately.
- The rating shown is what I earned in this attempt.",Results,US-112,Medium,player-journey stage-19,PLAYER-JOURNEY.md · US-112
See what the attempt cost me,Story,,Stage 19 — Results,"As a player, I want my hearts and hints itemised, so that I can see where I lost points.","- The results show hearts remaining, hints used, and the words I restored.",Results,US-113,Medium,player-journey stage-19,PLAYER-JOURNEY.md · US-113
Be told how to do better,Story,,Stage 19 — Results,"As a player, I want one piece of advice after a level, so that I know what to practise.",- The results screen offers a single specific suggestion for improvement.,Results,US-114,Medium,player-journey stage-19,PLAYER-JOURNEY.md · US-114
Go straight on to the next level,Story,,Stage 19 — Results,"As a player, I want to continue immediately, so that momentum is not broken.","- A control leads to the next level in the era.
- At the end of an era, it leads to the era's closing scene instead.",Results,US-115,Medium,player-journey stage-19,PLAYER-JOURNEY.md · US-115
Replay a level safely,Story,,Stage 19 — Results,"As a player, I want to retry a level for a better rating, so that I can improve without risk.","- Replaying never lowers my stars, relocks a level, or takes back a reward.",Results,US-116,Medium,player-journey stage-19,PLAYER-JOURNEY.md · US-116
Stage 20 — Progression and saving,Epic,Stage 20 — Progression and saving,,"Stage 20 of the player journey (US-117–US-122, 6 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Progression and saving,,Medium,player-journey stage-20,PLAYER-JOURNEY.md · Stage 20
Have my progress saved for me,Story,,Stage 20 — Progression and saving,"As a player, I want progress written without my asking, so that I never lose a level I finished.",- Completing a level saves it without any action from me.,Progression and saving,US-117,Medium,player-journey stage-20,PLAYER-JOURNEY.md · US-117
Never lose progress to a crash,Story,,Stage 20 — Progression and saving,"As a player, I want the save to be all-or-nothing, so that closing the game at the wrong moment cannot corrupt it.","- A save either completes fully or leaves the previous save untouched.
- A save written by an older version of the game still opens after an update.",Progression and saving,US-118,Medium,player-journey stage-20,PLAYER-JOURNEY.md · US-118
Have progress only move forward,Story,,Stage 20 — Progression and saving,"As a player, I want a worse attempt never to undo a better one, so that replaying is always safe.","- Completion, best stars and unlocked content are only ever added to.",Progression and saving,US-119,Medium,player-journey stage-20,PLAYER-JOURNEY.md · US-119
Be told when a save fails,Story,,Stage 20 — Progression and saving,"As a player, I want a clear message rather than a silent loss, so that I know to retry.","- A failed save says so and offers to retry.
- Victory is not shown until the save succeeds.
- Leaving keeps the completion so it can be applied next time.",Progression and saving,US-120,Medium,player-journey stage-20,PLAYER-JOURNEY.md · US-120
See that the game is saving,Story,,Stage 20 — Progression and saving,"As a player, I want a small sign at a save point, so that I know the write happened.","- A brief indicator shows while saving and confirms when done.
- A failure is shown as text, not colour alone.",Progression and saving,US-121,Medium,player-journey stage-20,PLAYER-JOURNEY.md · US-121
Open the next level by finishing this one,Story,,Stage 20 — Progression and saving,"As a player, I want finishing a level to open the next, so that progress is visible on the map.","- Completing a level unlocks the next one.
- The unlock survives closing the game.
- A level only counts as complete when every one of its goals is met.",Progression and saving,US-122,Medium,player-journey stage-20,PLAYER-JOURNEY.md · US-122
Stage 21 — Mastery over time,Epic,Stage 21 — Mastery over time,,"Stage 21 of the player journey (US-123–US-126, 4 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Mastery over time,,Medium,player-journey stage-21,PLAYER-JOURNEY.md · Stage 21
See how well I know each symbol,Story,,Stage 21 — Mastery over time,"As a player, I want a state shown per symbol, so that I can tell what I have seen from what I actually know.","- Each symbol shows one of: introduced, practised, recalled, mastered.",Mastery over time,US-123,Medium,player-journey stage-21,PLAYER-JOURNEY.md · US-123
Be measured on shape and sound,Story,,Stage 21 — Mastery over time,"As a player, I want my knowledge tracked in more than one way, so that mastery means more than drawing from memory.","- Symbols track both their shape and their sound.
- Words track both assembly and meaning.",Mastery over time,US-124,Medium,player-journey stage-21,PLAYER-JOURNEY.md · US-124
"Have ""knowing it"" mean remembering it",Story,,Stage 21 — Mastery over time,"As a player, I want credit for recall to require drawing without the answer in view, so that mastery reflects memory.","- Drawing with the answer visible counts as practice, not recall.
- Reaching the highest state requires success across separate sessions.",Mastery over time,US-125,Medium,player-journey stage-21,PLAYER-JOURNEY.md · US-125
Be brought back to what I am forgetting,Story,,Stage 21 — Mastery over time,"As a player, I want the game to resurface symbols I have not used recently, so that I do not quietly lose them.","- A review session offers the symbols and words that are due.
- Review never changes my level progress.",Mastery over time,US-126,Medium,player-journey stage-21,PLAYER-JOURNEY.md · US-126
"Stage 22 — Closing an era, ending the campaign",Epic,"Stage 22 — Closing an era, ending the campaign",,"Stage 22 of the player journey (US-127–US-129, 3 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,"Closing an era, ending the campaign",,Medium,player-journey stage-22,PLAYER-JOURNEY.md · Stage 22
See an era close,Story,,"Stage 22 — Closing an era, ending the campaign","As a player, I want a closing ceremony when I finish an era, so that its five levels feel like one arc.","- Finishing an era's last level shows the era's name, its closing line, and the memories I earned in it.
- It offers a way into the next era.","Closing an era, ending the campaign",US-127,Medium,player-journey stage-22,PLAYER-JOURNEY.md · US-127
Reach a real ending,Story,,"Stage 22 — Closing an era, ending the campaign","As a player, I want the journey to resolve, so that finishing the campaign is an ending rather than a stop.","- Completing the final level plays an ending scene.
- The campaign is recorded as complete.","Closing an era, ending the campaign",US-128,Medium,player-journey stage-22,PLAYER-JOURNEY.md · US-128
Have something to return to,Story,,"Stage 22 — Closing an era, ending the campaign","As a player who finished, I want the menu to still offer me something, so that completion is not a dead end.","- After completing the campaign, the menu offers replay, the archive and the Codex.","Closing an era, ending the campaign",US-129,Medium,player-journey stage-22,PLAYER-JOURNEY.md · US-129
Stage 23 — The Codex,Epic,Stage 23 — The Codex,,"Stage 23 of the player journey (US-130–US-134, 5 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,The Codex,,Medium,player-journey stage-23,PLAYER-JOURNEY.md · Stage 23
Browse the script I have learned,Story,,Stage 23 — The Codex,"As a player, I want an encyclopaedia of the symbols, so that everything I have learned is in one place, and I can see how much is left.","- A Codex lists every symbol the campaign teaches.
- It shows how many I have learned out of the total.
- Symbols I have not met are hidden behind a placeholder.",The Codex,US-130,Medium,player-journey stage-23,PLAYER-JOURNEY.md · US-130
Read a symbol's full entry,Story,,Stage 23 — The Codex,"As a player, I want to open a symbol and study it, so that the Codex is a learning tool and not a trophy case.","- Opening a symbol shows its glyph, its reading(s), and where it appears in the campaign.
- It shows how well I know it.",The Codex,US-131,Medium,player-journey stage-23,PLAYER-JOURNEY.md · US-131
Browse the enemies I have met,Story,,Stage 23 — The Codex,"As a player, I want an enemy section, so that I can look up what a corrupted enemy does.","- The Codex lists the corrupted enemies.
- An enemy appears only once I have encountered it.",The Codex,US-132,Medium,player-journey stage-23,PLAYER-JOURNEY.md · US-132
Read what an enemy corrupts,Story,,Stage 23 — The Codex,"As a player, I want each enemy's entry to explain what it twists and what its symbol teaches, so that the enemies carry the lesson.","- An enemy's entry gives its ability, what it corrupts, and the lesson restored by defeating it.",The Codex,US-133,Medium,player-journey stage-23,PLAYER-JOURNEY.md · US-133
Practise a symbol from its entry,Story,,Stage 23 — The Codex,"As a player, I want to jump from reading about a symbol to practising it, so that study and practice are one action.",- A symbol's entry offers a control that opens practice on that symbol.,The Codex,US-134,Medium,player-journey stage-23,PLAYER-JOURNEY.md · US-134
Stage 24 — Free practice,Epic,Stage 24 — Free practice,,"Stage 24 of the player journey (US-135–US-136, 2 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Free practice,,Medium,player-journey stage-24,PLAYER-JOURNEY.md · Stage 24
Practise with nothing at stake,Story,,Stage 24 — Free practice,"As a player, I want somewhere to draw with no enemies and no timer, so that I can learn before I have to perform.","- A practice mode has no enemies, no countdown and no penalty.
- I can choose which symbol to practise.
- Only symbols I have been taught are offered.
- Practice contributes to my mastery but never changes my level progress.",Free practice,US-135,Medium,player-journey stage-24,PLAYER-JOURNEY.md · US-135
See a guide while I trace,Story,,Stage 24 — Free practice,"As a player, I want an outline under my finger, so that my first attempts are not blind.","- The expected shape is shown as a guide while I trace.
- Feedback tells me how close I got.",Free practice,US-136,Medium,player-journey stage-24,PLAYER-JOURNEY.md · US-136
Stage 25 — The final boss,Epic,Stage 25 — The final boss,,"Stage 25 of the player journey (US-137–US-143, 7 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,The final boss,,Medium,player-journey stage-25,PLAYER-JOURNEY.md · Stage 25
Face one final enemy,Story,,Stage 25 — The final boss,"As a player, I want a final antagonist, so that the campaign has a climax.","- The last level is a boss encounter.
- No other level has a boss.",The final boss,US-137,Medium,player-journey stage-25,PLAYER-JOURNEY.md · US-137
Be taught the boss's rules first,Story,,Stage 25 — The final boss,"As a player, I want the boss explained before it starts, so that I am not learning its rules while losing.","- Before the fight, a readable sequence gives the boss's name, story and mechanics.
- The fight starts when I close it.",The final boss,US-138,Medium,player-journey stage-25,PLAYER-JOURNEY.md · US-138
Fight the boss in stages,Story,,Stage 25 — The final boss,"As a player, I want the boss to have phases, so that the fight escalates and my progress is visible.","- The boss has distinct phases and a visible health state.
- Each phase cleared advances the fight.",The final boss,US-139,Medium,player-journey stage-25,PLAYER-JOURNEY.md · US-139
Hit the boss only when it is open,Story,,Stage 25 — The final boss,"As a player, I want a clear window when the boss can be hurt, so that the fight has a rhythm I can learn.","- The boss is only damageable during a visible vulnerable window.
- Outside it, my drawings resolve against its minions instead.",The final boss,US-140,Medium,player-journey stage-25,PLAYER-JOURNEY.md · US-140
Know what the boss wants and how long I have,Story,,Stage 25 — The final boss,"As a player, I want the demanded symbol and the remaining time shown, so that I can act under pressure.","- The vulnerable window shows the symbol demanded and how many remain.
- A countdown shows the time left.
- Missing the window costs time, not progress.",The final boss,US-141,Medium,player-journey stage-25,PLAYER-JOURNEY.md · US-141
Restore a line after each phase,Story,,Stage 25 — The final boss,"As a player, I want the boss fight and the restoration to be one encounter, so that the finale uses everything I learned.","- Clearing a phase opens one line of the closing passage.
- Completing that line begins the next phase.
- Dying restarts only the phase I was in.",The final boss,US-142,Medium,player-journey stage-25,PLAYER-JOURNEY.md · US-142
Write the last symbol of the campaign,Story,,Stage 25 — The final boss,"As a player, I want the final act to be one symbol into one word, so that the ending is mine to complete.",- The last action of the campaign is writing the final symbol into the final word.,The final boss,US-143,Medium,player-journey stage-25,PLAYER-JOURNEY.md · US-143
"Stage 26 — Pause, retry, leaving",Epic,"Stage 26 — Pause, retry, leaving",,"Stage 26 of the player journey (US-144–US-149, 6 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,"Pause, retry, leaving",,Medium,player-journey stage-26,PLAYER-JOURNEY.md · Stage 26
Pause the game,Story,,"Stage 26 — Pause, retry, leaving","As a player, I want to stop the action, so that I can put the phone down without losing the run.","- A pause control stops enemies, timers and spawning.
- Resuming puts me back exactly where I stopped.","Pause, retry, leaving",US-144,Medium,player-journey stage-26,PLAYER-JOURNEY.md · US-144
Check what I am doing while paused,Story,,"Stage 26 — Pause, retry, leaving","As a player, I want my objectives visible from the pause menu, so that I can re-orient after a break.",- The pause menu lists the level's target words and the symbols in play.,"Pause, retry, leaving",US-145,Medium,player-journey stage-26,PLAYER-JOURNEY.md · US-145
Retry just the part I failed,Story,,"Stage 26 — Pause, retry, leaving","As a player, I want to restart the current wave rather than the whole level, so that a late mistake does not replay every lesson.","- Restarting a wave keeps the progress I made before it.
- After a defeat, I can resume from the last wave I cleared.","Pause, retry, leaving",US-146,Medium,player-journey stage-26,PLAYER-JOURNEY.md · US-146
Leave a level and come back to the same place,Story,,"Stage 26 — Pause, retry, leaving","As a player, I want to stop mid-level and resume later, so that I can play in short sessions.","- I can save and leave from the pause menu.
- Returning resumes at the wave I left, with the hearts I had.
- Syllables I had already placed are still placed.","Pause, retry, leaving",US-147,Medium,player-journey stage-26,PLAYER-JOURNEY.md · US-147
Be told why I lost,Story,,"Stage 26 — Pause, retry, leaving","As a player, I want the defeat screen to explain itself, so that I learn from the failure.","- The defeat screen names what reached the shrine.
- It offers to retry, to review the symbols I missed, or to leave.","Pause, retry, leaving",US-148,Medium,player-journey stage-26,PLAYER-JOURNEY.md · US-148
Lose nothing by losing,Story,,"Stage 26 — Pause, retry, leaving","As a player, I want a defeat to cost only time, so that failing is never punishing.","- A defeat does not remove stars, rewards or unlocked levels.
- Leaving a level partway records no progress for that attempt.","Pause, retry, leaving",US-149,Medium,player-journey stage-26,PLAYER-JOURNEY.md · US-149
Stage 27 — Settings and accessibility,Epic,Stage 27 — Settings and accessibility,,"Stage 27 of the player journey (US-150–US-157, 8 stories). Ordered as the player meets it, not by build status.",- Every story in this stage is closed,Settings and accessibility,,Medium,player-journey stage-27,PLAYER-JOURNEY.md · Stage 27
Set the volumes,Story,,Stage 27 — Settings and accessibility,"As a player, I want separate control of music, effects and spoken audio, so that I can hear what matters to me.","- Music, sound effects and voice each have their own control.
- The settings persist across sessions.",Settings and accessibility,US-150,Medium,player-journey stage-27,PLAYER-JOURNEY.md · US-150
Read what is being spoken,Story,,Stage 27 — Settings and accessibility,"As a player who cannot hear, I want captions for spoken audio, so that I get the same information.","- With captions on, every spoken syllable is also shown as text.
- Every hint has a text form.",Settings and accessibility,US-151,Medium,player-journey stage-27,PLAYER-JOURNEY.md · US-151
Turn the narration off and still follow the story,Story,,Stage 27 — Settings and accessibility,"As a player, I want to disable voice without losing content, so that muting costs me nothing.","- With narration off, dialogue still shows its text and no voice plays.",Settings and accessibility,US-152,Medium,player-journey stage-27,PLAYER-JOURNEY.md · US-152
Adjust the text,Story,,Stage 27 — Settings and accessibility,"As a player with limited vision or a different reading pace, I want control over the text, so that I can read comfortably.","- Text size, text speed and contrast can each be adjusted.
- A ""Restore Defaults"" control returns every setting to its default.
- The settings persist across sessions.",Settings and accessibility,US-153,Medium,player-journey stage-27,PLAYER-JOURNEY.md · US-153
Turn off shaking and flashing,Story,,Stage 27 — Settings and accessibility,"As a player sensitive to motion, I want to disable those effects, so that the game is safe for me to play.","- With reduced motion on, no screen shake and no full-screen flash occurs.",Settings and accessibility,US-154,Medium,player-journey stage-27,PLAYER-JOURNEY.md · US-154
Read my hearts without counting,Story,,Stage 27 — Settings and accessibility,"As a player, I want my hearts legible at a glance, so that I am not squinting under pressure.","- The hearts are shown as a number as well as icons.
- The icons can be made larger.",Settings and accessibility,US-155,Medium,player-journey stage-27,PLAYER-JOURNEY.md · US-155
Feel a correct drawing,Story,,Stage 27 — Settings and accessibility,"As a player, I want the device to respond to a correct trace, so that I get feedback without looking or listening.","- With haptics on, a correct drawing vibrates the device.",Settings and accessibility,US-156,Medium,player-journey stage-27,PLAYER-JOURNEY.md · US-156
Make the game easier without cheating myself,Story,,Stage 27 — Settings and accessibility,"As a player who finds the pace too fast, I want an assist I can turn on, so that I can still finish the game.","- Assist slows enemies, lengthens the drawing window and strengthens the guide.
- Every required goal still has to be met.
- The results screen shows that assist was on.",Settings and accessibility,US-157,Medium,player-journey stage-27,PLAYER-JOURNEY.md · US-157
